file_name,section,total,correct,no_image,correct_no_image,accuracy,accuracy_no_image
samples_yks_2024_2025-05-06T12-46-26.910120.jsonl,FEN-BILIMLERI-TESTI,60,32,38,26,0.5333333333333333,0.6842105263157895
samples_yks_2024_2025-05-06T12-46-26.910120.jsonl,MATEMATIK-TESTI,40,5,29,4,0.125,0.13793103448275862
samples_yks_2024_2025-05-06T12-46-26.910120.jsonl,SOSYAL-BILIMLER-2-TESTI,46,38,42,37,0.8260869565217391,0.8809523809523809
samples_yks_2024_2025-05-06T12-46-26.910120.jsonl,SOSYAL-BILIMLER-TESTI,25,21,22,21,0.84,0.9545454545454546
samples_yks_2024_2025-05-06T12-46-26.910120.jsonl,TEMEL-MATEMATIK-TESTI,40,14,18,9,0.35,0.5
samples_yks_2024_2025-05-06T12-46-26.910120.jsonl,TURK-DILI-VE-EDEBIYATI-SOSYAL-BILIMLER-1-TESTI,40,32,37,31,0.8,0.8378378378378378
samples_yks_2024_2025-05-06T12-46-26.910120.jsonl,TURKCE-TESTI,40,29,40,29,0.725,0.725
samples_yks_2024_2025-05-06T13-25-36.676765.jsonl,FEN-BILIMLERI-TESTI,60,38,38,29,0.6333333333333333,0.7631578947368421
samples_yks_2024_2025-05-06T13-25-36.676765.jsonl,MATEMATIK-TESTI,40,12,29,10,0.3,0.3448275862068966
samples_yks_2024_2025-05-06T13-25-36.676765.jsonl,SOSYAL-BILIMLER-2-TESTI,46,39,42,38,0.8478260869565217,0.9047619047619048
samples_yks_2024_2025-05-06T13-25-36.676765.jsonl,SOSYAL-BILIMLER-TESTI,25,21,22,20,0.84,0.9090909090909091
samples_yks_2024_2025-05-06T13-25-36.676765.jsonl,TEMEL-MATEMATIK-TESTI,40,15,18,5,0.375,0.2777777777777778
samples_yks_2024_2025-05-06T13-25-36.676765.jsonl,TURK-DILI-VE-EDEBIYATI-SOSYAL-BILIMLER-1-TESTI,40,27,37,25,0.675,0.6756756756756757
samples_yks_2024_2025-05-06T13-25-36.676765.jsonl,TURKCE-TESTI,40,26,40,26,0.65,0.65
